Number of frames: 1000
Frequency: 100
Units: mm

Frame,New Biomech 4 LED Stylus Calibration Se q0,New Biomech 4 LED Stylus Calibration Se qx,New Biomech 4 LED Stylus Calibration Se qy,New Biomech 4 LED Stylus Calibration Se qz,New Biomech 4 LED Stylus Calibration Se x,New Biomech 4 LED Stylus Calibration Se y,New Biomech 4 LED Stylus Calibration Se z,New Biomech 4 LED Stylus Calibration Se Error,Pin1 q0,Pin1 qx,Pin1 qy,Pin1 qz,Pin1 x,Pin1 y,Pin1 z,Pin1 Error,Pin2 q0,Pin2 qx,Pin2 qy,Pin2 qz,Pin2 x,Pin2 y,Pin2 z,Pin2 Error
1,,,,,,,,,-0.123269625, 0.724292278, 0.585834920,-0.342056662,-204.664062500,-162.974639893,-2007.862792969, 0.057788417, 0.040682506, 0.069320314, 0.996490180, 0.023387507,-348.004089355,-401.696014404,-1985.606567383, 0.167855769,
2,,,,,,,,,-0.123369552, 0.724259853, 0.585817635,-0.342118770,-204.668090820,-162.974792480,-2007.870361328, 0.058022626, 0.040627673, 0.069320455, 0.996492863, 0.023367532,-348.007080078,-401.695953369,-1985.607788086, 0.167517871,
3,,,,,,,,,-0.123131789, 0.724194407, 0.585790813,-0.342388958,-204.669357300,-162.975265503,-2007.866333008, 0.059861083, 0.040507760, 0.069322981, 0.996498525, 0.023326565,-348.006683350,-401.695983887,-1985.603881836, 0.168245554,
4,,,,,,,,,-0.123189285, 0.724226773, 0.585868597,-0.342166573,-204.669723511,-162.972106934,-2007.856811523, 0.058446161, 0.040634736, 0.069321401, 0.996497393, 0.023158731,-348.007385254,-401.694091797,-1985.601806641, 0.167624295,
5,,,,,,,,,-0.123124935, 0.724270523, 0.585853636,-0.342122734,-204.668869019,-162.971237183,-2007.846313477, 0.058642048, 0.040985871, 0.069300689, 0.996481597, 0.023281096,-348.007110596,-401.693695068,-1985.598632813, 0.166176021,
6,,,,,,,,,-0.123159811, 0.724295974, 0.585846603,-0.342068344,-204.671585083,-162.971191406,-2007.843017578, 0.057906784, 0.040759329, 0.069302566, 0.996488273, 0.023387380,-348.008697510,-401.694244385,-1985.596435547, 0.167790771,
7,,,,,,,,,-0.123209633, 0.724244475, 0.585841537,-0.342168123,-204.673339844,-162.969116211,-2007.848999023, 0.058580514, 0.040662117, 0.069315769, 0.996490777, 0.023411220,-348.010101318,-401.694305420,-1985.600830078, 0.167210639,
8,,,,,,,,,-0.123117387, 0.724208653, 0.585866630,-0.342234135,-204.676803589,-162.968658447,-2007.862915039, 0.059930947, 0.040767882, 0.069311619, 0.996487677, 0.023370430,-348.009552002,-401.692932129,-1985.601806641, 0.166313112,
9,,,,,,,,,-0.123147145, 0.724205971, 0.585866392,-0.342229545,-204.679580688,-162.967758179,-2007.876953125, 0.058471195, 0.040631846, 0.069325618, 0.996489465, 0.023488615,-348.009918213,-401.691802979,-1985.601928711, 0.166735485,
10,,,,,,,,,-0.123220555, 0.724256635, 0.585841715,-0.342138112,-204.680221558,-162.968429565,-2007.878540039, 0.057663351, 0.040644046, 0.069385685, 0.996481419, 0.023632355,-348.010101318,-401.692504883,-1985.602416992, 0.165915668,
11,,,,,,,,,-0.123186141, 0.724218190, 0.585834801,-0.342243761,-204.681472778,-162.970825195,-2007.873046875, 0.058604088, 0.040597379, 0.069399044, 0.996484220, 0.023555366,-348.010009766,-401.692962646,-1985.602294922, 0.166797057,
12,,,,,,,,,-0.123255089, 0.724191308, 0.585863233,-0.342227131,-204.680313110,-162.966018677,-2007.866455078, 0.057987250, 0.040628754, 0.069339111, 0.996488810, 0.023483064,-348.008575439,-401.691284180,-1985.601074219, 0.167372480,
13,,,,,,,,,-0.123063974, 0.724244654, 0.585892498,-0.342132807,-204.677047729,-162.965362549,-2007.855468750, 0.058570214, 0.040740844, 0.069300458, 0.996487439, 0.023460329,-348.005554199,-401.691131592,-1985.600585938, 0.166215494,
14,,,,,,,,,-0.123074524, 0.724286497, 0.585870981,-0.342077255,-204.679138184,-162.963394165,-2007.850097656, 0.057768613, 0.040479477, 0.069350116, 0.996498287, 0.023304559,-348.007537842,-401.691436768,-1985.598266602, 0.167570069,
15,,,,,,,,,-0.123118691, 0.724292338, 0.585934341,-0.341940582,-204.682464600,-162.965011597,-2007.857910156, 0.056878410, 0.040434144, 0.069337234, 0.996499300, 0.023377735,-348.007873535,-401.692657471,-1985.599853516, 0.167449296,
16,,,,,,,,,-0.122941636, 0.724258602, 0.585884213,-0.342161566,-204.687988281,-162.966537476,-2007.874023438, 0.058134530, 0.040882524, 0.069317758, 0.996482313, 0.023381518,-348.006134033,-401.693267822,-1985.597412109, 0.166190431,
17,,,,,,,,,-0.122915015, 0.724183261, 0.585903943,-0.342296749,-204.689193726,-162.965866089,-2007.885009766, 0.058730703, 0.041035451, 0.069297753, 0.996472836, 0.023575123,-348.007537842,-401.692443848,-1985.597290039, 0.165502861,
18,,,,,,,,,-0.123077087, 0.724227011, 0.585954726,-0.342059016,-204.690948486,-162.967376709,-2007.884155273, 0.057233505, 0.040928472, 0.069323696, 0.996472180, 0.023713484,-348.007934570,-401.694488525,-1985.598999023, 0.165516615,
19,,,,,,,,,-0.123231634, 0.724234104, 0.585894883,-0.342090726,-204.692031860,-162.967559814,-2007.878540039, 0.057948615, 0.040545583, 0.069363095, 0.996490419, 0.023486871,-348.007751465,-401.694824219,-1985.594726563, 0.166872829,
20,,,,,,,,,-0.123069406, 0.724182248, 0.585916638,-0.342221677,-204.690963745,-162.965927124,-2007.869995117, 0.058864623, 0.040595733, 0.069339246, 0.996494710, 0.023288062,-348.005920410,-401.696197510,-1985.596801758, 0.167456716,
21,,,,,,,,,-0.122966915, 0.724205911, 0.585985661,-0.342090189,-204.692047119,-162.962799072,-2007.866088867, 0.058103103, 0.040977400, 0.069310606, 0.996477127, 0.023457380,-348.004730225,-401.696502686,-1985.598632813, 0.165576577,
22,,,,,,,,,-0.122927852, 0.724241555, 0.585968971,-0.342057437,-204.691192627,-162.962249756,-2007.861206055, 0.058357444, 0.040737092, 0.069306865, 0.996486247, 0.023500044,-348.004028320,-401.696533203,-1985.598999023, 0.165873751,
23,,,,,,,,,-0.123067126, 0.724225640, 0.585900307,-0.342158645,-204.691543579,-162.958374023,-2007.862182617, 0.058350943, 0.040485479, 0.069317065, 0.996501625, 0.023251647,-348.000732422,-401.696807861,-1985.599365234, 0.167835280,
24,,,,,,,,,-0.123226278, 0.724199355, 0.585924685,-0.342115253,-204.693374634,-162.958587646,-2007.866210938, 0.058184870, 0.040609185, 0.069277011, 0.996498525, 0.023287488,-347.997680664,-401.696685791,-1985.604003906, 0.167366594,
25,,,,,,,,,-0.123112410, 0.724229813, 0.585940897,-0.342063993,-204.692520142,-162.953033447,-2007.862915039, 0.058025483, 0.040725671, 0.069245912, 0.996497393, 0.023222901,-347.991882324,-401.696807861,-1985.608032227, 0.167053252,
26,,,,,,,,,-0.123229429, 0.724220216, 0.585901976,-0.342108816,-204.692382813,-162.948089600,-2007.852050781, 0.058253840, 0.040736064, 0.069260463, 0.996493876, 0.023313718,-347.983917236,-401.696136475,-1985.608398438, 0.167264029,
